id	pos	category	lemma	num_id
NL58	NOUN	COG	imbeciliteit	58
NL61	NOUN	COG	achterlijkheid	61
NL62	NOUN	COG	retardatie	62
NL63	NOUN	COG	oligofrenie	63
NL65	NOUN	COG	debilitas	65
NL70	NOUN	COG	debiliteit	70
NL71	NOUN	COG	idiotisme	71
NL72	NOUN	COG	imbeciel	72
NL73	NOUN	COG	debiel	73
NL75	NOUN	COG	idioot	75
NL78	NOUN	COG	idiotie	78
NL91	NOUN	MOR	eigendunk	91
NL92	NOUN	MOR	arrogantie	92
NL94	NOUN	MOR	ijdelheid	94
NL95	NOUN	MOR	verwaandheid	95
NL104	NOUN	SEX	sodomeur	104
NL115	NOUN	ANI	luiaard	115
NL226	NOUN	MOR	zwartmaker	226
NL227	NOUN	MOR	kwatong	227
NL228	NOUN	MOR	lasteraar	228
NL254	NOUN	COG	domkop	254
NL256	NOUN	COG	dombo	256
NL257	NOUN	MGE	eikel	257
NL259	NOUN	ANI	kalf	259
NL263	NOUN	COG	stomkop	263
NL264	NOUN	DER	lijpo	264
NL265	NOUN	DER	kloris	265
NL266	NOUN	COG	dommerik	266
NL267	NOUN	REL	kwezel	267
NL268	NOUN	ANI	kuiken	268
NL269	NOUN	ANI	steenezel	269
NL270	NOUN	COG	halvezool	270
NL271	NOUN	COG	stommerd	271
NL272	NOUN	COG	schaapskop	272
NL273	NOUN	COG	hansworst	273
NL274	NOUN	COG	druiloor	274
NL275	NOUN	DER	piechem	275
NL278	NOUN	ANI	kalfskop	278
NL279	NOUN	DER	boerenlul	279
NL280	NOUN	ANI	ezel	280
NL281	NOUN	DER	droplul	281
NL282	NOUN	ANI	koe	282
NL283	NOUN	COG	oelewapper	283
NL288	NOUN	DER	zot	288
NL289	NOUN	COG	weetniet	289
NL290	NOUN	ANI	uilskuiken	290
NL292	NOUN	COG	kwibus	292
NL293	NOUN	DER	sufkut	293
NL294	NOUN	COG	domoor	294
NL295	NOUN	DER	flapdrol	295
NL296	NOUN	PLA	druif	296
NL297	NOUN	COG	onbenul	297
NL298	NOUN	COG	oen	298
NL299	NOUN	ANI	ezelsveulen	299
NL301	NOUN	ANI	eendenkuiken	301
NL302	NOUN	DER	zakkenwasser	302
NL303	NOUN	ETH	kaffer	303
NL305	NOUN	DER	dwaas	305
NL307	NOUN	COG	sufkont	307
NL308	NOUN	COG	minkukel	308
NL309	NOUN	DER	malloot	309
NL310	NOUN	DER	zultkop	310
NL311	NOUN	DER	oetlul	311
NL312	NOUN	COG	mafketel	312
NL313	NOUN	COG	leeghoofd	313
NL314	NOUN	COG	sufferd	314
NL315	NOUN	ANI	rund	315
NL317	NOUN	COG	stommeling	317
NL318	NOUN	COG	stommerik	318
NL319	NOUN	DER	mafkees	319
NL321	NOUN	ANI	mafkikker	321
NL322	NOUN	COG	achterlijke	322
NL326	NOUN	MGE	klootzak	326
NL328	NOUN	PHY	dikkop	328
NL365	NOUN	MOR	gierigaard	365
NL366	NOUN	MOR	krentenkakker	366
NL367	NOUN	MOR	schraper	367
NL368	NOUN	MOR	vrek	368
NL369	NOUN	MOR	krentenweger	369
NL370	NOUN	MOR	duitendief	370
NL373	NOUN	COG	woordenkakker	373
NL374	NOUN	COG	leuteraar	374
NL375	NOUN	COG	kletsmajoor	375
NL376	NOUN	COG	kletskous	376
NL377	NOUN	COG	zwetser	377
NL378	NOUN	COG	babbelkous	378
NL379	NOUN	COG	flapuit	379
NL380	NOUN	COG	kletsmeier	380
NL381	NOUN	COG	kwebbel	381
NL382	NOUN	COG	zwammer	382
NL383	NOUN	COG	keuvelaar	383
NL420	ADJ	MOR	gelddorstig	420
NL427	NOUN	MOR	rover	427
NL428	NOUN	MOR	picaro	428
NL429	NOUN	MOR	bandiet	429
NL430	NOUN	DER	gauwdief	430
NL431	NOUN	MOR	schurk	431
NL432	NOUN	MOR	struikrover	432
NL435	NOUN	DER	boerenkaffer	435
NL436	NOUN	DER	pummel	436
NL438	NOUN	DER	hork	438
NL442	NOUN	DER	vlegel	442
NL443	NOUN	MOR	proleet	443
NL445	NOUN	SOC	plebejer	445
NL446	NOUN	DER	heikneuter	446
NL447	NOUN	DER	kinkel	447
NL449	NOUN	DER	hufter	449
NL450	NOUN	DER	boerenhufter	450
NL452	NOUN	DER	botterik	452
NL453	ADJ	COG	barbaars	453
NL454	NOUN	DER	lomperik	454
NL455	NOUN	DER	rouwdouw	455
NL456	NOUN	PRO	boerenkinkel	456
NL457	NOUN	PRO	boerenpummel	457
NL458	NOUN	DER	rouwdouwer	458
NL459	NOUN	COG	barbaar	459
NL460	NOUN	SOC	palurk	460
NL463	NOUN	DER	lomperd	463
NL464	NOUN	DER	plomperd	464
NL465	NOUN	DER	grobbejanus	465
NL466	NOUN	DER	boerenkarhengst	466
NL528	NOUN	DER	blauwkous	528
NL531	NOUN	DER	sul	531
NL533	NOUN	DER	sukkel	533
NL542	NOUN	DER	sufkop	542
