id	text	user	offensive	abusive	target	source	user.description
848082806303465472	#nieuwstwitter In de wandelgangen: Chelsea wil stunten met sterren van Arsenal en Everton https://t.co/6jlmRwEmpT #voetbal	DenHaag_BN	NOT	NOT		201704_full	Het lokale nieuws voor bij de borrel!
1061935277692907521	@Joep045 @Het_OM @NUnl En wij blijven het massaal pikken. In fatsoenlijke landen had al lang de pleuris uitgebroken en had de hele gerechtelijke en politieke macht al lang gelyncht geweest.	EUSSR3	NOT	NOT		author	
1168078548457938944	Ik lees de krant in ochtendlicht en luister naar Sufjan Stevens en het geschreeuw van mijn onderburen en voor het eerst sinds lang mis ik iemand die hier naast me kan zitten, samen met koffie en koek.	timyvesmieke	NOT	NOT		201909_full	A big, flaming, feather-wearing, man-kissing, disco-dancing [takes a sip of her drink] Vermont-living, Christina Aguilera-loving, Mykonos-going queer.
1168076283244400640	#clashroyale nu bijna 5800+ in de ladder, lukt net niet om door te drukken naar 6000+ welke pro Kan advies geven?  Speel deck staat hier onder en altijd welkom in de clan voor battle tegen elkaar lijkt mij een eer: @SurgicalGoblin @SirDutchieCR @KaNaRiOoo @Javi14__ https://t.co/rOs5xqAhQM	ClashTheshadow	NOT	NOT		201909_full	Account voor Clash Royale.
1168079421795909633	@ManuelSintubin Ik wil daarmee zeggen dat kritisch denken en vrij onderzoek moet centraal staan en niet het blinde geloof in het ene of andere wondermiddel. Ik ga ervan uit dat wederzijdse samenwerking en beïnvloeding de weg naar een constructieve  oplossing is.	Patrick35991475	NOT	NOT		201909_full	Depending on the context I am a philosopher/psychotherapist/teacher & humanist. Doing research on Kierkegaard and Ethics regarding to PhD.
848279395060023298	Britse MILF Lady Sonia Fucked Hard door een grote zwarte pik https://t.co/1TqgZYoo79	DerekLongman	NOT	NOT		201704_full	
1168084544744034304	Pepernootje? Chocolaadelettertje? Iemand?! #5december #Sinterklaas https://t.co/DBdQ7TfYCp	LidiaPronk	NOT	NOT		201909_full	Medewerker ruimtelijke ordening bij gemeente Hollands Kroon.
1168077600788504576	Het duurt soms even, maar Netflix heeft zojuist weer eens twee films online gezet die al een poosje op mijn lijst stonden: Maggie en The Giver. Plus, bij KPN staat Avengers: Endgame erop. Dus ik heb weer wat te kijken deze week!	bramdg	NOT	NOT		201909_full	Vader, echtgenoot, (s)preker, freubelaar, buurtpastor & pionier tegen wil en dank, pseudominee, lakstivist - kortom: struikelend volger van Jezus.
1168074123802755078	Als mevrouw Halsema wilde dieren wil zien, kan ze toch ook naar Safaripark de Beekse Bergen	ctw49	NOT	NOT		201909_full	In mijn leven maak ik zelf keuzes, vorm ik zelf een mening, maak ik zelf mijn fouten en leer ik zelf mijn lessen. Bemoeit u zich maar met uw eigen business.
1002605681046933504	@wheikoop @GemGeldermalsen Ik zei het ook al, die vent heeft weinig medelijden gehad met de klaprozen 😝	rubenschulz	NOT	NOT		201806_full	Designer | Developer | Director | Photographer | LARPer | Geek | Male | 38
1062697147227869185	@000sfeh Hart is groter dan mijn kont	ll_hajar	NOT	NOT		author	
1002596874950447105	Vriendelijk doen is precies moeilijk voor sommige mensen	naomilebacq	NOT	NOT		201806_full	
1266380855884333056	@Tamlinscathach @Childfreelife2 @EdwinArends2 Haha ja die zijn lelijk. Mijn dochter heeft van die hippe meisjes joggings met glitters aan de zijkant. Kan je niet lelijk vinden hoor als vrouw😁	moeva18	NOT	NOT		author	
1062836797544300544	@cfcjesse Als iets nep is geef ik dat sws toe man ik draag kleren omdat ik t mooi vind niet om de waarde. Drm heb k een paar fake shit maarja daar ben k eerlijk over	Ozann020	NOT	NOT		author	
1267014878843342850	@WNLOpZondag @Gemeente_Lwd @sybrandbuma @ADnl @ivandenberg Boetes geven heeft geen zin !! Nogmaals , sluit ze bij elkaar op . Laten ze elkaar maar besmetten . Dat gelul met ik begrijp de regels niet . Nou dan ben je wel een achterlijke idioot als je die regels niet begrijpt . Ik begrijp ze uitstekend .	davelubeck1	OFFENSIVE	IMPLICIT	GROUP	author	
1267521912076410886	@DittumVan Laat dat secreet opdonderen. En iedereen die daar staat mag je een hypocriete klootzak noemen. Gelijkheid is namelijk gelijkheid voor iedereen! Mensen die geen gedag tegen hun geliefden konden zeggen. En dan flikt dit tuig dit! Gelijk is gelijkheid. Geen uitzondering!	rense_1	OFFENSIVE	EXPLICIT	GROUP	author	this account is primarily used for F1 and movies.Algemene filosofie:Niks opleggen en niks afpakken! Doe en geniet van je eigen ding en gun ieder zijn eigen ding
1168073898140798976	"@MargotWit @20ishetnieuwe2 Misschien kunnen jullie dan een uurtje bier drinken in de 90s tent die ik lease van het festival van Heleen.
Third Eye Blind is de surprise act."	robinvr78	NOT	NOT		201909_full	Muziekverslaafd, festivals, Pearl Jam, humor om te lachen. Hand in hand met @joliendopmeijer. Maker van @AlleTijdPodcast. #Lyricstoclosetheday #datisgeluk
1168078445244555264	@aliettejonkers @volkskrant Vanuit de evidence merkwaardig dat ECT als ultimum remedium wordt gezien. Kans op succesvolle behandeling vele malen groter dan bij medicatie, kortere behandelduur, bijwerkingen beperkt.	August_Nieland	NOT	NOT		201909_full	jurist | strafrecht | ggz |
