name;twitter;party
Thierry Aartsen;@ThierryAartsen;VVD
Fleur Agema;@FleurAgemaPVV;PVV
Mahir Alkaya;@MahirAlkaya;SP
Mustafa Amhaouch;@MustafaAmhaouch;CDA
Khadija Arib;@khadijaArib;PvdA
Tamara van Ark;@tamaravanark;VVD
Farid Azarkan;@F_azarkan;DENK
Stephan van Baarle;@StephanvBaarle;DENK
Thierry Baudet;@thierrybaudet;FvD
Bente Becker;@bentebecker;VVD
Sandra Beckerman;@SandraBeckerman;SP
Harm Beertema;@harmbeertema;PVV
Salima Belhaj;@SalimaBelhaj;D66
Vera Bergkamp;@Vera_Bergkamp;D66
Marijke van Beukering-Huijbregts;@Marijke_vB;D66
Mirjam Bikker;@mirjambikker;CU
Roelof Bisschop;@BisschopRoelof;SGP
Henri Bontenbal;@HenriBontenbal;CDA
Martin Bosma;@Martinbosma_pvv;PVV
Derk Boswijk;@DerkBoswijk;CDA
Kauthar Bouchallikh;@Kauthar_;GL
Raoul Boucke;@RaoulBoucke;D66
Faissal Boulakjar;@FBoulakjar;D66
Ruben Brekelmans;@rubenbrekelmans;VVD
Laura Bromet;@LauraBromet;GL
Thom van Campen;@ThomvCampen;VVD
Don Ceder;Don Ceder;CU
Laurens Dassen;@DassenLaurens;Volt
Tony van Dijck;-;PVV
Gijs van Dijk;@dijkvangijs;PvdA
Inge van Dijk;@i_dijk;CDA
Jasper van Dijk;@JaspervanDijkSP;SP
Joost Eerdmans;@Eerdmans;JA21
Zohair El Yassini;@ZelYassini;VVD
Corinne Ellemeet;@CorinneEllemeet;GL
Ulysse Ellian;@UlysseEllian;VVD
Olaf Ephraim;@Olaf_Ephraim;Groep Van Haga
Silvio Erkens;@SilvioErkens;VVD
Derk Jan Eppink;@djeppink;JA21
Eva van Esch;@EvavanEsch;PvdD
Sietse Fritsma;-;PVV
Jaco Geurts;@JacoGeurts;CDA
Lisa van Ginneken;@LisaGinneken;D66
Machiel de Graaf;@GraafdeMachiel;PVV
Dion Graus;@realDionGraus;PVV
Pieter Grinwis;@Pieter_Grinwis;CU
Peter de Groot;@pedegro;VVD
Tjeerd de Groot;@TjeerdD66;D66
Nilüfer Gündoğan;@ngundogan77;Volt
Liane den Haan;@LianedenHaan;Fractie Den Haan
Wybren van Haga;@WybrenvanHaga;Groep Van Haga
Kiki Hagen;@kbhagen;D66
Alexander Hammelburg;@Ahammelburg;D66
Mark Harbers;@markharbers;VVD
Rudmer Heerema;@rudmer;VVD
Pieter Heerma;@PieterHeerma;CDA
Eelco Heinen;@eelcoheinen;VVD
Lilian Helder;@lilianhelderpvv;PVV
Sophie Hermans;@hermans_sophie;VVD
Maarten Hijink;@MaartenHijink;SP
Jacqueline van den Hil;@jacquelinevdhil;VVD
Wopke Hoekstra;@WBHoekstra;CDA
Habtamu de Hoop;@HabtamudeHoop;PvdA
Pepijn van Houwelingen;@PvanHouwelingen;FvD
Folkert Idsinga;@FolkertIdsinga;VVD
Freek Jansen;@Frederik_Jansen;FvD
Rob Jetten;@RobJetten;D66
Léon de Jong;@leondejong;PVV
Romke de Jong;@romkedejong;D66
Sigrid Kaag;@ministerBZ;D66
Roelien Kamminga;@KammingaRJ;VVD
Hülya Kat;@HulyaKatD66;D66
Barbara Kathmann;@BarbaraKathmann;PvdA
Mona Keijzer;@MonaKeijzer;CDA
Bart van Kent;@bartvankent;SP
Simone Kerseboom;@SimoneKerseboom;FvD
Jesse Klaver;@jesseklaver;GL
Jan Klink;@KlinkJan;VVD
Raymond Knops;@RaymondKnops;CDA
Marieke Koekkoek;@KoekkoekMarieke;Volt
Daniel Koerhuis;@danielkoerhuis;VVD
Alexander Kops;@KopsPVV;PVV
Daan de Kort;@Daandekort92;VVD
Anne Kuik;@AnneKuik;CDA
Attje Kuiken;@attjekuiken;PvdA
Tunahan Kuzu;@tunahankuzu;DENK
Peter Kwint;@peterkwint;SP
Jeanet van der Laan;@Jeanetvdlaan;D66
Tom van der Lee;@TomvanderLee;GL
Renske Leijten;@RenskeLeijten;SP
Senna Maatoug;@SennaMaatoug;GL
Barry Madlener;-;PVV
Vicky Maeijer;@VickyMaeijer;PVV
Lilian Marijnissen;@MarijnissenL;SP
Gidi Markuszower;@GidiMarkuszower;PVV
Paul van Meenen;@Paul_van_Meenen;D66
Gideon van Meijeren;@GideonvMeijeren;FvD
Ingrid Michon-Derkzen;@ingridmichon;VVD
Fahid Minhas;@minhas_fahid;VVD
Harry van der Molen;@harryvdmolen;CDA
Agnes Mulder;@AgnesMulderCDA;CDA
Edgar Mulder;@edgarmulder1;PVV
Daan de Neef;@DaandeNeef;VVD
Henk Nijboer;@henknijboer;PvdA
Michiel van Nispen;@MichielvNispen;SP
Esther Ouwehand;@estherouwehand;PvdD
Hilde Palland;@Hilde_PM;CDA
Jan Paternotte;@jpaternotte;D66
Mariëlle Paul;@marielle_paul;VVD
Wieke Paulusma;@wiepau;D66
René Peters;@RenePetersOss;CDA
Kati Piri;@KatiPiri;PvdA
Caroline van der Plas;@lientje1967;BBB
Lilianne Ploumen;@PloumenLilianne;PvdA
Nicki Pouw-Verweij;@NickiVerweij;JA21
Lammert van Raan;@LammertvanRaan;PvdD
Rens Raemakers;@RensRaemakers;D66
Queeny Rajkowski;@QueenyRaj;VVD
Raymond de Roon;@r_deroonpvv;PVV
Mark Rutte;@MinPres;VVD
Mark Rutte;@markrutte;VVD
Carola Schouten;@carolaschouten;CU
Gert-Jan Segers;@gertjansegers;CU
Sylvana Simons;@SylvanaBIJ1;BIJ1
Sjoerd Sjoerdsma;@swsjoerdsma;D66
Hans Smolders;@hanssmolders01;Groep Van Haga
Joost Sneller;@Sneller;D66
Bart Snels;@bartsnels;GL
Kees van der Staaij;@keesvdstaaij;SGP
Chris Stoffer;@chris_stoffer;SGP
Pim van Strien;@PimVanStrien;VVD
Ockje Tellegen;@ockjetellegen;VVD
Christine Teunissen;@Ct_teunissen;PvdD
Joris Thijssen;@Joris_PvdA;PvdA
Judith Tielen;@JudithTielenVVD;VVD
Peter Valstar;@pvalstar;VVD
Leonie Vestering;@LeonieVestering;PvdD
Hans Vijlbrief;@stasVijlbrief;D66
Aukje de Vries;@aukjedevries;VVD
Frank Wassenberg;@WassenbergFrank;PvdD
Danai van Weerdenburg;@Danai_PVV;PVV
Hanneke van der Werf;@hannekevdwerf;D66
Lucille Werner;@LucilleWerner;CDA
Lisa Westerveld;@Lisawesterveld;GL
Jeroen van Wijngaarden;@vanwijngaardenj;VVD
Geert Wilders;@geertwilderspvv;PVV
Hatte van der Woude;@HattevdWoude;VVD\
Jorien Wuite;@Wuite_Jorien;D66
